ID1	ID2	conf	direction	type	score
20	21	1	1	TRUE_KEGG	4.553952606291273
18	25	1	1	TRUE_KEGG	4.5482164551176325
17	18	1	1	TRUE_KEGG	4.553952606291273
22	23	1	1	TRUE_KEGG	2.7778198970822463
26	25	1	1	TRUE_KEGG	6.9136984101862335
21	25	1	1	TRUE_KEGG	4.5482164551176325
25	43	1	1	TRUE_KEGG	8.168570230643317
25	42	1	1	TRUE_KEGG	8.168570230643317
21	20	1	1	FALSE_KEGG	0.21958946138756533
25	18	1	1	FALSE_KEGG	0.21986640474747074
18	17	1	1	FALSE_KEGG	0.21958946138756533
23	22	1	1	FALSE_KEGG	0.35999454142090903
25	26	1	1	FALSE_KEGG	0.14464038502556884
25	21	1	1	FALSE_KEGG	0.21986640474747074
43	25	1	1	FALSE_KEGG	0.12242044467569509
42	25	1	1	FALSE_KEGG	0.12242044467569509
43	42	1	1	UNDIRECTED_KEGG	1.0
42	43	1	1	UNDIRECTED_KEGG	1.0
